,District,Variety,Month,Year,Price
544,Amarawati,N-44,Jul,2019,4973
545,Amarawati,DCH-32(Unginned),Jul,2019,4931
546,Jalana,Varaxmi,Jul,2019,4814
547,Jalana,Desi,Jul,2019,4873
548,Jalana,Other,Jul,2019,4872
549,Jalana,H-4(A) 27mm FIne,Jul,2019,4888
550,Jalana,LRA,Jul,2019,4975
551,Jalana,N-44,Jul,2019,4878
552,Jalana,DCH-32(Unginned),Jul,2019,4875
553,Beed,Varaxmi,Jul,2019,4983
554,Beed,Desi,Jul,2019,4980
555,Beed,Other,Jul,2019,4941
556,Beed,H-4(A) 27mm FIne,Jul,2019,4973
557,Beed,LRA,Jul,2019,5050
558,Beed,N-44,Jul,2019,4989
559,Beed,DCH-32(Unginned),Jul,2019,4967
560,Buldhana,Varaxmi,Jul,2019,4743
561,Buldhana,Desi,Jul,2019,5080
562,Buldhana,Other,Jul,2019,5049
563,Buldhana,H-4(A) 27mm FIne,Jul,2019,5143
564,Buldhana,LRA,Jul,2019,5095
565,Buldhana,N-44,Jul,2019,5080
566,Buldhana,DCH-32(Unginned),Jul,2019,5083
567,Nanded,Varaxmi,Jul,2019,4799
568,Nanded,Desi,Jul,2019,4862
569,Nanded,Other,Jul,2019,4857
570,Nanded,H-4(A) 27mm FIne,Jul,2019,4859
571,Nanded,LRA,Jul,2019,4934
572,Nanded,N-44,Jul,2019,4868
573,Nanded,DCH-32(Unginned),Jul,2019,4862
574,Akola,Varaxmi,Jul,2019,4809
575,Akola,Desi,Jul,2019,4925
576,Akola,Other,Jul,2019,4914
